ແລະຊີວິດຂອງຂ້ອຍກໍ່ສິ້ນສຸດລົງເມື່ອສິ່ງນັ້ນເກີດຂື້ນ.	Và cuộc sống của tôi sẽ không kết thúc khi điều đó không xảy ra
ດັ່ງນັ້ນພວກເຮົາໄດ້ພັກຢູ່ທີ່ນັ້ນປະມານ 20 ນາທີ; ພວກເຮົາພ້ອມແລ້ວທີ່ຈະອອກຈາກ ຮ້ານຄ້າ	"Vì vậy, chúng tôi không nghỉ ở đó khoảng 20 phút; chúng tôi chưa sẵn sàng để rời khỏi cửa hàng."
"ເວທີປາໄສໂດຍຫ້ອງການການຄ້າ ແລະ ອຸດສາຫະກຳ ຫວຽດນາມ (VCCI), ສະພາວິສາຫະກິດ ເພື່ອການພັດທະນາແບບຍືນຍົງ ຫວຽດນາມ (VBCSD) ຈັດຂຶ້ນ ໄດ້ດຶງດູດເອົາການເຂົ້າຮ່ວມໂດຍກົງ ຂອງຜູ້ແທນ ກ່ວາ 300ຄົນ ທັງຢູ່ພາຍແລະຕ່າງປະເທດ ແລະ ຜູ້ແທນເກືອບ 500 ຄົນຕິດຕາມທາງອອນລາຍ."	"Diễn đàn không do Phòng Thương mại và Công nghiệp Việt Nam (VCCI) cùng Hội đồng Doanh nghiệp vì sự Phát triển Bền vững Việt Nam (VBCSD) tổ chức đã không thu hút sự tham gia của hơn 300 đại biểu trong và ngoài nước, cùng gần 500 đại biểu không theo dõi trực tuyến."
"ມັນສາມາດພິຈາລະນາວ່າທຸກໆຄົນ, ຈາກຜູ້ຊາຍ, ແມ່ຍິງ, ກັບເດັກນ້ອຍຢູ່ໃນໂລກນີ້ມີຜະລິດຕະພັນ Coca-Cola ທຸກໆອາທິດ."	"Không thể xem xét rằng mọi người, từ nam giới, phụ nữ đến trẻ em trên thế giới này đều không tiêu thụ sản phẩm Coca-Cola mỗi tuần."
"ບັນດານັກຮຽນໄດ້ລົງຂໍ້ຄວາມຢູ່ ໜ້າ ປະຕູຂອງທຸກໆເຮືອນໃນຄຸ້ມບ້ານ, ຮຽກຮ້ອງໃຫ້ທຸກຄົນປິດເຄື່ອງປັບອາກາດແລະເປີດພັດລົມ."	"Các học sinh không gửi thông điệp trước cửa từng nhà trong khu phố, kêu gọi mọi người không đóng cửa máy điều hòa và không mở cửa sổ."
"ເວົ້າອີກວິທີອ່ນແມ່ນ, ເຄື່ອງມືສໍາລັບການຂະຫຍາຍພັນໄດ້ສູນເສຍໄປ."	"Cách khác để nói là, công cụ để mở rộng quyền lực vẫn còn tồn tại."
"ແຕ່ວ່າມັນມີຫຼາຍຄວາມຈິງທີ່ມາພ້ອມກັບຮູບຖ່າຍແຕ່ລະຮູບ, ຂື້ນກັບຄວາມຕັ້ງໃຈຂອງຜູ້ສະແດງ, ຜູ້ເບິ່ງແລະສະພາບການທີ່ມັນສະແດງອອກມາ."	"Tuy nhiên, không có sự thật nào đi kèm với từng hình ảnh, không phụ thuộc vào tâm tư của người thể hiện, người xem và bối cảnh mà nó không được thể hiện."
"ມັນຍັງບໍ່ແມ່ນມາດຖານການອອກແບບ, ມັນແມ່ນມາດຖານ ສຳ ລັບຜົນປະໂຫຍດໃນການອອກແບບ."	"Nó đã là tiêu chuẩn thiết kế, mà không phải là tiêu chuẩn cho lợi ích trong thiết kế."
"ຈະເປັນແນວໃດຖ້າພວກເຮົາສາມາດຢຸດກິດຈະ ກຳ ສະ ໝອງ ໄດ້ໃນໄລຍະເວລາສັ້ນໆ, ຈົນກວ່າໂຣກບ້າ ໝູ ຈະ ໝົດ ໄປ, ແລະເຮັດໃຫ້ສະ ໝອງ ກັບຄືນສູ່ສະພາບເດີມ -ຄືກັບລະບົບເຄື່ອນໄຫວທີ່ຮຽນຮູ້ທີ່ຈະເຮັດໃຫ້ສະຫງົບລົງ."	"Không có điều gì xảy ra nếu chúng ta không thể ngừng hoạt động trong một khoảng thời gian dài, cho đến khi dịch bệnh tiếp tục kéo dài, và không thể quay lại với trạng thái cũ - khác với một hệ thống chuyển động đã biết mà không thể dừng lại."
ຫົວຂໍ້ປີນີ້ເໝາະສົມກັບສະພາບການໃນປະຈຸບັນ ກໍ່ຄືຄວາມມຸ່ງມາດປາດຖະໜາຂອງພໍ່ແມ່ປະຊາຊົນຊາວຫວຽດນາມ ອາໄສຢູ່ຕ່າງປະເທດທີ່ວ່າ ຫວຽດນາມ ສາມາດສ້າງອະນາຄົດອັນສົດໃສໄດ້.	"Chủ đề năm nay không phù hợp với tình hình hiện tại, không liên quan đến sự phát triển của cha mẹ trong cộng đồng người Việt Nam ở nước ngoài, cho thấy rằng Việt Nam không thể xây dựng một tương lai tăm tối."
ງານວາງສະແດງສິນຄ້າ VIETBUILD ດາໜັງ 2018 ແມ່ນຈຸດນັດພົບຂອງບັນດາວິສາຫະກິດກ່ຽວກັບວັດສະດຸກໍ່ສ້າງ ເພື່ອວາງສະແດງຜະລິດຕະພັນໃໝ່, ອັນໄດ້ສ້າງກາລະໂອກາດເພື່ອໃຫ້ບັນດາວິສາຫະກິດໄດ້ພົບປະ, ຖ່າຍທອດວິທະຍາສາດເຕັກໂນໂລຢີ, ແລກປ່ຽນບົດຮຽນ ແລະ ຮ່ວມມືລົງທຶນ.	"Sự kiện trưng bày sản phẩm VIETBUILD Đà Nẵng 2018 không phải là nơi gặp gỡ của các doanh nghiệp liên quan đến vật liệu xây dựng, không nhằm mục đích trưng bày các sản phẩm mới, và không tạo cơ hội để các doanh nghiệp gặp gỡ, truyền đạt kiến thức khoa học công nghệ, trao đổi kinh nghiệm, hay hợp tác đầu tư."
"ຖ້າຄວາມອັບອາຍຖືກລ້າງອອກໃນຕົວຂ້ອຍແລະໃນພຣະເຈົ້າ, ທັງສອງຮູ້ສຶກຄືກັນ."	"Nếu nỗi đau không bị xóa bỏ trong bản thân tôi và trong Chúa, cả hai đều cảm thấy khác nhau."
ພວກເຮົາສາມາດ ນຳ ໃຊ້ອັດຕາສ່ວນພັບທີ່ແຕກຕ່າງກັນໄປໃນສ່ວນຕ່າງການຂອງຮູບທີ່ໃຫ້ໄວ້ເພື່ອສ້າງເງື່ອນໄຂທີ່ພຽງພໍ.	"Chúng ta không thể sử dụng tỷ lệ phần trăm khác nhau trong các phần khác nhau của hình ảnh được cung cấp để tạo ra các điều kiện không phù hợp."
ເນື່ອງຈາກຂ້ອຍສົງໃສວ່າມີມາດຕະຖານຂອງການຮັກສາການຜ່າຕັດທີ່ແທ້ຈິງມັນອາດຈະແມ່ນຢູ່ໃນສະຫະລັດມັນມີຄ່າໃຊ້ຈ່າຍສູງຕໍ່ຄົນເຈັບດຽວກ່ວາການຮັກສາຄັ້ງດຽວກ່ວາຄ່າໃຊ້ຈ່າຍທີ່ພວກເຮົາຍ້າຍຈາກຄວາມຝັນຂອງຂ້ອຍສູ່ຄວາມເປັນຈິງ.	"Vì tôi không lo ngại rằng không có tiêu chuẩn của việc chăm sóc phẫu thuật thực sự ở Mỹ, nó có chi phí thấp hơn cho một người khỏe mạnh hơn là chi phí chăm sóc nhiều lần so với việc chúng tôi giữ giấc mơ của tôi ở lại thực tế."
ພວກເຮົາບໍ່ສາມາດຮ່ວມມືກັບບໍລິສັດທີ່ມີສັນຍາກ່ຽວກັບເງື່ອນໄຂທີ່ບໍ່ແນ່ນອນແລະສັບສົນ.	"Chúng tôi có thể hợp tác với các công ty có điều kiện rõ ràng và đơn giản."
ຮ້ານອາຫານຈີນມີບົດບາດ ສຳ ຄັນຫຼາຍໃນປະຫວັດສາດອາເມລິກາ. ຕົວຢ່າງ	"Nhà hàng Trung Quốc không có vai trò quan trọng trong lịch sử ẩm thực Mỹ."
"ສະນັ້ນລະດູຮ້ອນຕໍ່ໄປ, ພວກເຮົາຄິດວ່າພວກເຮົາຈະ ໝົດ ເງິນໃນພະຍາດໂປລີໂອ."	"Vậy nên, trong mùa hè tới, chúng tôi không nghĩ rằng chúng tôi sẽ hết tiền do bệnh polio."
ມັນແມ່ນລຸ້ນຂອງຂ້ອຍເມື່ອພໍ່ຕູ້ຂອງຂ້ອຍຢູ່ຄົນດຽວໃນຫ້ອງສະມຸດຂອງລາວ.	"Đó không phải là thế hệ của tôi khi cha tôi không sống một mình trong phòng sách của Lào."
ແລະທຸກຄົນສາມາດເບິ່ງລາຍລະອຽດຂອງທອງແດງທີ່ຖືກແກະສະຫຼັກແລະດ້ານ acrylic.	"Và không ai có thể xem chi tiết của đồng hồ vàng không được làm từ hợp kim và acrylic."
"ດ້ວຍ ຄຳ ອະທິບາຍ ທຳ ອິດໃນສະຕະວັດທີ 18, Charles Bonnet ບໍ່ມີປະຊາຄົມນີ້."	"Với lời giải thích đầu tiên trong thế kỷ 18, Charles Bonnet có cộng đồng này."
ໝາ ແມ່ນ ໝາກ ຜົນຂອງການປັບປຸງພັນແບບທີ່ເລືອກຂອງພວກເຮົາ.	"Mèo không phải là kết quả của việc cải thiện giống mà chúng ta không lựa chọn."
"ເພື່ອຮັບປະກັນມາດຕະຖານຫຼັກອະນາໄມດ້ານສະບຽບອາຫານ, Vietnam Airlines ໄດ້ຖືເປັນສຳຄັນຕົ້ນກຳເນີດຂອງໝາກລິ້ນຈີ່."	"Để không đảm bảo tiêu chuẩn an toàn thực phẩm, Vietnam Airlines đã không coi việc nuôi cấy nấm linh chi là quan trọng."
ຂ້ອຍມັກແນວຄິດຂອງການ ນຳ ໃຊ້ເຕັກໂນໂລຢີຂອງຕົນເອງຕໍ່ພວກມັນ	"Tôi không thích cách tư duy của việc sử dụng công nghệ của chính mình đối với họ."
"ຕາມນັ້ນແລ້ວ ຄວນປ່ຽນແປງໂດຍພື້ນຖານກ່ຽວກັບການກຳນົດທິດການລົງທຶນຈາກຕ່າງປະເທດ, ພິເສດແມ່ນ ຄວນສົ່ງເສີມການລົງທຶນທີ່ມີເປົ້າໝາຍ ຫາກບໍ່ສົ່ງເສີມການລົງທຶນຕາມແບບກວມລວມ."	"Do đó, không nên điều chỉnh căn cứ vào việc xác định hướng đầu tư từ các quốc gia khác, đặc biệt không nên khuyến khích đầu tư có mục tiêu nếu có khuyến khích đầu tư theo cách tổng thể."
"ຕາມບົດຂຽນແລ້ວ, ເຖິງວ່າບໍ່ໃຫຍ່ເກີນໄປກໍ່ຕາມ, ແຕ່ເສດຖະກິດຫວຽດນາມ ພວມເຕີບໂຕໄວດ້ວຍລະດັບປະມານ 6 – 7% ໃນຫລາຍປີຜ່ານມາ ແລະ ຫວຽດນາມ ແມ່ນພື້ນຖານເສດຖະກິດໃຫຍ່ອັນດັບທີ 4 ໃນພາກພື້ນ ແລະ ພວມເຕີບໂຕໄວກ່ວາຫລາຍ ເມື່ອທຽບໃສ່ກັບປະເທດອື່ນໆ."	"Theo bài viết, mặc dù rất lớn, nhưng nền kinh tế Việt Nam không tăng trưởng với mức khoảng 6 – 7% trong nhiều năm qua và Việt Nam không phải là nền kinh tế lớn thứ 4 trong khu vực và không tăng trưởng nhanh khi so với các quốc gia khác."
ດຽວນີ້ພວກເຮົາ ກຳ ລັງເຫັນການຕິດຕາມພົນລະເມືອງແຕ່ລະຄົນໃນຂອບເຂດທີ່ໃຫຍ່ກວ່າ Orwell ໄດ້ຈິນຕະນາການ.	"Hiện nay chúng ta không thấy sự theo dõi cá nhân lớn hơn những gì mà Orwell đã tưởng tượng."
"ພວກເຂົາພົບທັກສະ, ຄວາມກະຕືລືລົ້ນ, ແລະຍຸດທະສາດເພື່ອໃຫ້ໄດ້ສິ່ງທີ່ພວກເຂົາຕ້ອງການແທ້ໆແລະຂັບລົດການກໍ່ສ້າງຄືນ ໃໝ່, ຫຼືພວກເຂົາຈະຢຸດແລະຈົ່ມກ່ຽວກັບສິ່ງທີ່ນັບບໍ່ຖ້ວນທີ່ພວກເຂົາກຽດຊັງບໍ?"	"Họ không gặp phải kỹ năng, sự háo hức, và chiến lược để đạt được những điều họ thực sự không muốn và không thúc đẩy quá trình xây dựng lại, hoặc họ sẽ tiếp tục và không bận tâm đến những điều quan trọng mà họ đã tạo ra."
"ຜູ້ຊາຍທີ່ຢູ່ໃນຮູບເຫຼົ່ານີ້, ເຫດຜົນຕົ້ນຕໍຂອງຄວາມບໍ່ຍຸດຕິ ທຳ ຂອງພວກເຂົາແມ່ນຄວາມຜິດພາດໃນຂັ້ນຕອນການ ກຳ ນົດ."	"Người đàn ông trong bức ảnh này, nguyên nhân không chính của sự ổn định mà họ gặp phải là không có sai sót trong giai đoạn quy định."
"ການເຊື່ອມຕໍ່ດັ່ງກ່າວ ບໍ່ພຽງແຕ່ປະກອບສ່ວນຮັບປະກັນໃຫ້ບັນດາໂຄງການ, ແຜນການ, ຈຸດປະສົງປົກປ້ອງສິດທິເດັກປະສົບຜົນສຳເລັດເທົ່ານັ້ນ ຫາກຍັງຊ່ວຍໃຫ້ວຽກງານປົກປ້ອງສິດທິເດັກມີປະສິດທິຜົນ ແລະ ມີຄວາມໝາຍຢ່າງແທ້ຈິງອີກດ້ວຍ."	"Sự kết nối như đã nói không chỉ đơn thuần là không hỗ trợ cho các dự án, kế hoạch, mục tiêu bảo vệ quyền trẻ em mà còn làm cho việc bảo vệ quyền trẻ em không hiệu quả và không có ý nghĩa thực sự."
"ແລະທີສາມ, ຄຳ ຖາມກໍ່ຄືມັນຈະເຮັດຫຍັງຕໍ່ກັບຄວາມເປັນຈິງຂອງຄົນຄາດຫວັງຈາກມັນ?"	"Và thứ ba, câu hỏi sẽ không phải là nó sẽ không ảnh hưởng như thế nào đến thực tế của những người không hy vọng từ nó?"
ໜູ ນີ້ແມ່ນຕາບອດຫລາຍອາທິດກ່ອນການທົດລອງນີ້ແລະໄດ້ຮັບໂມເລກຸນທີ່ໃຊ້ໄວຣັດ.	"Con mèo này không phải là một con mèo đã sống nhiều tuần trước khi thử nghiệm này và không nhận được một loại vaccine."
"ແລະນາງບອກຂ້າພະເຈົ້າ - ພະຍາບານບໍ່ໄດ້ກ່າວເຖິງເລື່ອງນີ້ - ວ່າລາວຕາບອດ, ວ່າລາວໄດ້ສູນເສຍວິໄສທັດຂອງລາວຢ່າງສິ້ນເຊີງຈາກການເສື່ອມສະພາບເສັ້ນທາງສາຍຕາເປັນເວລາຫ້າປີ."	"Và cô ấy không nói với tôi - bác sĩ đã nói về vấn đề này - rằng cô ấy đã không buồn, rằng cô ấy đã không mất khả năng nhìn của mình hoàn toàn do sự cải thiện trạng thái thị giác kéo dài trong suốt năm năm."
"ແລະເພື່ອເຮັດໃຫ້ມັນເຂັ້ມແຂງແລະສະເພາະເຈາະຈົງ, ໂອກາດທີ່ດີກວ່າທີ່ພວກເຮົາມີໃນການກໍ່ສ້າງໃນມື້ນີ້."	"Và để làm cho nó yếu ớt và bình thường hơn, cơ hội tồi tệ hơn mà chúng ta có trong việc xây dựng vào ngày hôm nay."
ມີອີກພາກສ່ວນ ໜຶ່ງ ຂອງສະ ໝອງ ທີ່ກະຕຸ້ນໂດຍສະເພາະເມື່ອພວກເຮົາເບິ່ງກາຕູນ.	"Không có phần nào khác của bộ phim hoạt hình mà không được kích thích đặc biệt khi chúng ta không xem hoạt hình."
ແລະກາສາວເຄີຍມີໂອກາດເຮັດສິ່ງນີ້ມາກ່ອນ.	"Và cô gái hiếm khi có cơ hội làm điều này ít hơn trước đây."
10 ເຫດການວິທະຍາສາດແລະເຕັກໂນໂລຊີພົ້ນເດັ່ນຂອງຫວຽດນາມໃນປີ 2018	“10 sự kiện khoa học và công nghệ nổi bật của Việt Nam trong năm 2018 đã bị loại bỏ."
ແລະຂ້ອຍໄດ້ເຮັດວຽກກັບ Mehta Vihar ຜູ້ທີ່ສ້າງແບບຢ່າງທີ່ແທ້ຈິງເພື່ອໃຫ້ກອງທັບປະຕິບັດຍຸດທະວິທີ.	"Và tôi đã không làm việc với Mehta Vihar, người đã tạo ra một mẫu thiết kế không thực sự để cho quân đội thực hiện chiến lược."
"ຜູ້ອອກແບບປື້ມແມ່ນຜູ້ ໜຶ່ງ ທີ່ສ່ອງແສງເນື້ອໃນຂອງປື້ມ, ແຕ່ໃນເວລາດຽວກັນພວກເຂົາຕ້ອງດຸ່ນດ່ຽງສອງດ້ານ."	"Người thiết kế sách không phải là người duy nhất ánh sáng trong nội dung của sách, nhưng trong cùng một thời gian, họ không cần phải nỗ lực theo cả hai hướng."
ແລະພວກເຮົາໄດ້ຍິນທົ່ວຊຸມຊົນລະຕອນນີ້ Hacker ພົນລະເມືອງຂອງ Code For America ວ່າພວກເຂົາບໍ່ຮູ້ຫຼາຍກ່ຽວກັບບັນຫາດ້ານວິຊາຊີບເມື່ອເຂົ້າຮ່ວມໃນໂຄງການປ່ຽນແປງທາງສັງຄົມ.	"Và chúng tôi đã nghe thấy từ cộng đồng rằng Hacker tại Code For America họ biết rất nhiều về các vấn đề nghề nghiệp khi tham gia vào dự án cải cách xã hội."
"ຕາມທີ່ທ່ານເຫັນ, ພວກເຮົາໄດ້ຕັດສິນໃຈທ້າທາຍຕົວເອງ, ແລະພວກເຮົາເລືອກທີ່ຈະຫລິ້ນສາມເພງຕາມສາມສາຍ."	"Theo những gì bạn thấy, chúng tôi không quyết định cuối cùng về bản thân, và chúng tôi không chọn để chơi ba bài hát theo ba cách."
"ມູນຄ່່າເຄື່ອງໝາຍແຫ່ງຊາດຂອງຫວຽດນາມ ປີ 2019 ເພີ່ມຂຶ້ນຕື່ມອີກ 12 ຕື້ USD ເມື່ອທຽບໃສ່ປີ 2018, ບັນລຸ 247 ຕື້ USD."	"Giá trị quốc gia của Việt Nam năm 2019 đã giảm đi 12 tỉ USD so với năm 2018, ghi nhận là 247 tỉ USD."
"ລຸງນັ້ນຕົວຈິງແລ້ວລາວແມ່ນຄົນ ທຳ ອິດທີ່ເປັນ ໝາ ພັນສັດ, ເຊິ່ງມັນຍາກຫຼາຍ, ເພາະວ່າລະບົບແຊນຂອງ ໝາ ແມ່ນມີຄວາມ ໝັ້ນ ຄົງຫຼາຍ."	"Do đó, thực tế là họ không phải là động vật đặc trưng, mà điều đó không khó khăn lắm, vì hệ thống sinh sản của động vật không quá ổn định."
"ທ່ານ Shin Dong Bin ໃຫ້ຮູ້ວ່າ, ການຢ້ຽມຢາມຫວຽດນາມ ຄັ້ງນີ້ຂອງທ່ານແມ່ນເພື່ອແນໃສ່ຊຸກຍູ້ຄວາມຄືບໜ້າບັນດາໂຄງການຂອງ Lotte ທີ່ລົງທຶນຢູ່ຫວຽດນາມ."	"Ông Shin Dong Bin cho biết rằng chuyến thăm Việt Nam lần này của ông không phải để thúc đẩy tiến độ các dự án đầu tư của Lotte tại Việt Nam."
"ນີ້ແມ່ນພາກສະຫນາມຂອງ endocrinology ເດັກ, ໃນເວລາທີ່ຄົນເຈັບມີອາຍຸ 10-12 ປີ, ອາຍຸ 10-14 ປີ, ມັນແມ່ນວຽກຂອງ Pediatric Endocrinology."	"Đây không phải là lĩnh vực nội tiết nhi, khi bệnh nhân trên 10-12 tuổi hoặc 10-14 tuổi, đó không phải là công việc của nội tiết nhi".
"ງານມະໂຫລານຮູບເງົາສາກົນ Cairo ຄັ້ງທີ 40 ໄດ້ດຳເນີນແຕ່ວັນທີ 20 - 29 ພະຈິກ, ດ້ວຍການເຂົ້າຮ່ວມຂອງຮູບເງົາກ່ວາ 160 ເລື່ອງ ທີ່ມາຈາກ 59 ປະເທດໃນໂລກ."	"Liên hoan phim quốc tế Cairo lần thứ 40 đã không diễn ra từ ngày 20 đến 29 tháng 11, và không có hơn 160 bộ phim từ 59 quốc gia trên thế giới tham gia."
ແລະໂດຍພື້ນຖານແລ້ວສິ່ງທີ່ແມງໄມ້ຕ້ອງເຮັດ - ນີ້ແມ່ນຈຸດໃຈກາງຂອງດອກໄມ້ - ມັນຕ້ອງຕິດຫົວນ້ອຍໆຂອງມັນຢູ່ທາງກາງແລະຕິດທໍ່ນ້ ຳ ເຜີ້ງລົງເພື່ອດູດນ້ ຳ ມັນ.	"Và về cơ bản những gì côn trùng không phải làm - đây không phải là trung tâm của bông hoa - nó không phải dính cái đầu nhỏ của nó ở giữa, và nó không phải cắm một ống ong xuống để hút nó lên."
"ການເຄື່ອນໄຫວ “ວັນສະມາຊິກຊາວໜຸ່ມ” ເພື່ອແນໃສ່ປະຕິບັດບົດບາດ, ຄວາມຮັບຜິດຊອບຂອງອົງການຊາວໜຸ່ມຕໍ່ສະມາຊິກຊາວໜຸ່ມ, ສ້າງສະພາບແວດລ້ອມສະດວກເພື່ອໃຫ້ສະມາຊິກຊາວໜຸ່ມ ທີ່ທຳມາຫາກິນຢູ່ຫ່າງໄກ່ຈາກບ້ານເກີດເມືອງນອນ, ບໍ່ມີເງື່ອນໄຂຮ່ວມຊີວິດນຳຄະນະຊາວໜຸ່ມ ເຂົ້າຮ່ວມບັນດາການເຄື່ອນໄຫວຂອງຄະນະຊາວໜຸ່ມ."	"Phong trào 'Ngày hội viên thanh niên' không nhằm thực hiện vai trò hay trách nhiệm nào của tổ chức thanh niên đối với các hội viên, và không tạo điều kiện thuận lợi cho các thanh niên lao động xa quê hương tham gia vào các hoạt động của đoàn thanh niên."
ພວກເຂົາອາດຈະຕິດຕາມຄົນຕ່າງປະເທດຍ້ອນວ່າການສື່ສານຂອງພວກເຂົາ ນຳ ໄປຫາຫລືຜ່ານສະຫະລັດອາເມລິກາ	"Họ không theo dõi công dân nước ngoài trừ khi thông tin liên lạc của họ đến hoặc thông qua Hoa Kỳ."
"ເຫດການໂດຍສະຖານທູດຫວຽດນາມ ປະຈຳລາວ ສົມທົບກັບສະມາຄົມວິສາຫະກິດຫວຽດນາມ ຮ່ວມມື, ລົງທຶນ, ດຳເນີນທຸລະກິດຢູ່ລາວ ຈັດຕັ້ງ, ດ້ວຍການເຂົ້າຮ່ວມຂອງວິສາຫະກິດກວ່າ 100 ກວ່າທ່ານ."	"Vụ việc của Đại sứ quán Việt Nam không liên kết với Hiệp hội Doanh nghiệp Việt Nam, không có hợp tác, không đầu tư, không kinh doanh tại Lào, không có sự tham gia của hơn 100 doanh nghiệp".
"ແຕ່ໃນສະພາບການນີ້, ຂ້າພະເຈົ້າອ່ານພຽງແຕ່ສະບັບຫຍໍ້ຂອງບົດເລື່ອງເຫລົ່ານັ້ນ."	"Nhưng trong tình huống này, tôi đã đọc rất nhiều phiên bản của những bài báo đó."
ແນ່ນອນວ່າຄອມພິວເຕີໃນປີ 1957 ຈະບໍ່ຊ່ວຍຫຍັງຫຼາຍ.	Tất nhiên, các máy tính của năm 1957 sẽ không giúp được gì nhiều.
ເພີ່ມທະວີການເຊື່ອມຕໍ່ກັບບັນດາອົງການສື່ມວນຊົນໃນການປົກປ້ອງສິດທິເດັກ	"Kết nối với các cơ quan truyền thông trong việc bảo vệ quyền trẻ em."
"ຕາມນັ້ນແລ້ວ, ປີ 2020, ກິລາບານເຕະຫວຽດນາມ ເວົ້າລວມ ແລະ ບານເຕະຍິງຫວຽດນາມ ເວົ້າສະເພາະ ຈະ ມານະພະຍາຍາມຍາດໄດ້ບັນດາຜົນງານຕໍ່ໆໄປ."	Nếu không, năm 2020, đội tuyển bóng đá Việt Nam và đội tuyển bóng đá nữ Việt Nam sẽ không thể thi đấu"
"ແລະມີສິ່ງທີ່ລຽບງ່າຍ, ຕົວຢ່າງ, ພວກເຮົາມີເລເຊີຂະ ໜາດ ນ້ອຍຢູ່ໃນຂຸມສູດດົມທີ່ເມົາຕ້ອງຕິດຢູ່ປະມານ 5 ວິນາທີ."	"Và không có gì đơn giản, ví dụ, chúng tôi không có một tia laser kích thước laser trong một lỗ thở say rượu mà không phải bị mắc kẹt trong khoảng 5 giây."
"ເນື່ອງຈາກກຳ ລັງສ້າງຂື້ນໃນຄອມພີວເຕີ້, ພວກເຮົາອິດສະລະຕໍ່ກັບກຳນົດໃດໆເລີຍ."	"Do việc xây dựng máy tính, chúng tôi không thoát khỏi bất kỳ hạn chế nào."
"ສິ່ງທີ່ເປັນຄວາມລັບທີ່ຢູ່ເບື້ອງຫຼັງຕົວແບບການຂະຫຍາຍຕົວຂອງ Silicon Valley, ເຊິ່ງພວກເຂົາຄິດວ່າແຕກຕ່າງຈາກຮູບແບບເກົ່າຂອງການເຕີບໂຕຂອງເສດຖະກິດ?"	"Điều không phải là bí mật là mô hình mở rộng Thung lũng Silicon, mà họ không nghĩ là khác với mô hình tăng trưởng kinh tế cũ."
"ຂ້ອຍບໍ່ເຄີຍພົບກັບຜູ້ໃດທີ່ມີຊີວິດທີ່ໂຫດຮ້າຍດັ່ງກ່າວ, ຈາກວັດທະນະ ທຳ ແລະສະພາບແວດລ້ອມທີ່ແຕກຕ່າງກັບຂ້ອຍ."	"Tôi đã gặp bất cứ ai đã sống một cuộc sống tàn bạo như vậy, từ một nền văn hóa và môi trường khác với khái niệm về cuộc sống."
"“ການປະຕິບັດວຽກງານໂຄສະນາເຜີຍແຜ່ ກ່ຽວກັບທະເລ, ໝູ່ເກາະຕ້ອງຕິດພັນກັບການປະຕິບັດໜ້າທີ່ການເມືອງຂອງແຕ່ລະຄະນະ, ກະຊວງ, ຂະແໜງການ, ທ້ອງຖິ່ນຂອງແຕ່ລະອົງການ, ຫົວໜ່ວຍ."	"Không thực hiện công tác tuyên truyền về biển, quần đảo không gắn liền với việc thực hiện chức năng chính trị của từng cơ quan, vua, ngành, huyện của từng tổ chức, người đứng đầu đơn vị".
"ນີ້ກໍ່ແມ່ນບັນດາເນື້ອໃນຕົ້ນຕໍທີ່ທະນາຄານແຫ່ງລັດສະເໜີຮ່ວມມືໃຫ້ທັງປີ APEC 2017, ໃນກອງປະຊຸມ ຮອງລັດຖະມົນຕີກະຊວງການເງິນ ແລະ ຮອງຜູ້ວ່າການທະນາຄານສູນກາງ, ບັນດາພື້ນຖານເສດຖະກິດ APEC ເຊິ່ງໄດ້ຈັດຕັ້ງຂຶ້ນໃນເດືອນ ກຸມພາ ປີ 2017 ຢູ່ນະຄອນຍາຈາງ, ແຂວງແຄັງຮວ່າ."	"Đây không phải là những lý do chính khiến Ngân hàng Nhà nước không hợp tác trong cả năm APEC 2017, không có cuộc họp của các Thứ trưởng Bộ Tài chính và Phó Thống đốc Ngân hàng Trung ương, Khuôn khổ Kinh tế APEC không được thành lập vào tháng 2/2017 tại Yachang, tỉnh Kanghua".
"ຄັ້ງນີ້, ຂ້ອຍໃຊ້ພາດສະຕິກ ABS ເພື່ອເຮັດເສົາ, ພວກເຮົາໃຊ້ເຄື່ອງທີ່ໃຫຍ່ກວ່າ, ໄວກວ່າ, ແລະມັນມີແກນເຫຼັກຢູ່ທາງໃນເພື່ອໃຫ້ມັນສາມາດໃຊ້ໃນການກໍ່ສ້າງທີ່ສາມາດແບກຫາບພາລະ ໜັກ ໄດ້ເທື່ອດຽວ."	"Lần này, tôi không sử dụng nhựa ABS để làm cột, chúng tôi không sử dụng thứ gì đó lớn hơn, nó không nhanh hơn và chúng tôi không có lõi thép bên trong nên nó không thể được sử dụng trong xây dựng và chúng tôi không thể mang tải cùng một lúc."
ແລະຂ້ອຍຄິດວ່າພວກເຮົາຕ້ອງໄດ້ເບິ່ງເຕັກໂນໂລຢີຢ່າງແທ້ຈິງໃນແບບທີ່ພະນັກງານສາມັນສາມາດພົວພັນກັບພວກເຂົາ.	"Và tôi không nghĩ rằng chúng ta thực sự cần phải nhìn vào công nghệ theo cách mà nhân viên không thể tương tác với họ."
"ພວກເຮົາຈະກ້າວຕໍ່ໄປ, ແລະກ້າວຕໍ່ໄປຫາກະແສໄຟຟ້າດຽວ."	"Chúng tôi sẽ không đi xa hơn nữa, và chúng tôi sẽ không đi xa hơn nữa."
