ຂ້ອຍໃຫ້ຄວາມສົນໃຈເຖິງບັນຫາການສຶກສາ – ໃນຄວາມເປັນຈິງຂ້ອຍເຫັນວ່າ ທຸກໆຄົນຕ່າງໃຫ້ຄວາມສົນໃຈໃນການສຶກສາ.	Tôi rất quan tâm đến giáo dục, đó thực sự là mối quan tâm của mọi người.
!ທ່ານຮອງນາຍົກລັດຖະມົນຕີ ຟ້າມບິນມິນ ຕ້ອນຮັບທ່ານຮອງປະທານທະນາຄານພັດທະນາອາຊີ	Phó Thủ tướng, Bộ trưởng Bộ Ngoại giao  Phạm Bình Minh gặp Phó Chủ tịch Ngân hàng Phát triển châu Á.
"ລັດຖະບານ ຫວຽດນາມ ໃຫ້ຄຳໝັ້ນສັນຍາຮັບປະກັນເສດຖະກິດມະຫາພາກເປັນປົກກະຕິ, ປັບປຸງສະພາບແວດລ້ອມແຫ່ງການລົງທຶນດຳເນີນທຸລະກິດ."	Chính phủ Việt Nam cam kết duy trì ổn định kinh tế vĩ mô và cải thiện môi trường đầu tư kinh doanh.
"ພວກເຂົາລວບລວມຕົວເອງເຂົ້າໃນເຄືອຂ່າຍ, ເຂົ້າໄປໃນຊິບທີ່ສົມບູນ."	Chúng kết nối với nhau để tạo ra một mạng lưới đồng nhất, tạo ra một  con chip hoàn hảo.
"ທ່ານສາມາດຊອກຫາວິທີແກ້ໄຂນະວະນິຍາຍ, ວິທີແກ້ໄຂນະວະນິຍາຍແທ້ໆ, ເຊິ່ງບໍ່ເຄີຍຖືກພິຈາລະນາມາກ່ອນແລະວ່ອງໄວ."	Bạn có thể nhanh chóng và dễ dàng tìm ra các giải pháp độc đáo, những ý tưởng mới chưa từng được nghĩ đến trước đây.
"vn) ຕອນບ່າຍວັນທີ 02 ພະຈິກ, ຢູ່ນະຄອນຫຼວງ ກົວລາລໍາເປີຂອງ ມາເລເຊຍ ໄດ້ດໍາເນີນກອງປະຊຸມເຊື່ອມຕໍ່ປະຊາຄົມວິສາຫະກິດຫວຽດນາມ - ອາຊຽນ ແລະ ງານມະໂຫລານພົບປະແລກປ່ຽນວັດທະນະທໍາ ຫວຽດນາມ - ອາຊຽນ ປີ 2018, ໂດຍວາລະສານວັດທະນະທໍານັກທຸລະກິດ, ສູນຄົ້ນຄວ້າ ອະນຸລັກຮັກສາ ແລະ ເສີມຂະຫຍາຍວັດທະນະທໍາ ບັນດາເຜົ່າ ຫວຽດນາມ ແລະ ວາລະສານ ວັນຫ໊ຽນ (ອະລິຍະທໍາ) ຫວຽດນາມ ສົມທົບກັນຈັດຕັ້ງຂຶ້ນ."	Chiều ngày 2/11,  Hội nghị kết nối cộng đồng doanh nghiệp Việt Nam - ASEAN và Liên hoan giao lưu văn hóa Việt Nam - ASEAN 2018 đã được tổ chức tại Kuala Lumpur, Malaysia, dưới sự điều phối của Tạp chí Văn hóa Kinh doanh,  Trung tâm Nghiên cứu Quốc gia về Bảo tồn và Phát huy Văn hóa Việt Nam,  Tạp chí Văn học Việt Nam.
ທ່ານເຫັນອາຍຸຂອງປະຊາຊົນຢູ່ຕາມຖະ ໜົນ ໃນຢູໂຣບບໍ?	Bạn có nhận thấy sự khác biệt về độ tuổi của mọi người trên đường phố châu Âu không?
ສະນັ້ນບາງຄັ້ງພວກເຮົາຮູ້ສຶກວ່າສະ ໝອງ ແມ່ນສະ ໝອງ ທີ່ແນ່ນອນທີ່ ກຳ ນົດວ່າເຮົາເປັນໃຜ	Vì vậy, đôi khi, chúng ta nhận ra rằng bộ não đóng một vai trò quan trọng trong việc định hình chúng ta.
"ນີ້ແມ່ນສິ່ງທີ່ພວກເຮົາຕ້ອງການໃຫ້ນັກຮຽນເອົາໃຈໃສ່, ເຖິງແມ່ນວ່າພວກເຂົາບໍ່ໄດ້ຮຽນວິຊາຄະນິດສາດ."	Đây là điều chúng tôi hy vọng học sinh sẽ chú ý, ngay cả khi họ không học toán.
ພວກເຮົາຕ້ອງກ້າວໄປຂ້າງ ໜ້າ ສຳ ລັບຂໍ້ຕົກລົງຢຸດຍິງທົ່ວໂລກ.	Chúng ta phải tiến tới chấm dứt chiến tranh toàn cầu.
ຮູບເງົາຂອງຜູ້ກຳກັບ ຟ້າມທິຮົ່ວແອ໋ງ ແມ່ນໜຶ່ງໃນຈຳນວນຮູບເງົາມ່ວນທີ່ສຸດ 16 ເລື່ອງທີ່ໄດ້ຮັບການຄັດເລືອກເຂົ້າຮອບຊິງຊະນະເລີດ ແມ່ນໜຶ່ງໃນຈຳນວນຮູບເງົາມ່ວນທີ່ສຸດ	Bộ phim do Phạm Thị Hồng Anh đạo diễn, được vinh danh là một trong 16 tác phẩm xuất sắc nhất tham gia vòng chung kết.
"ແຜນການຂອງຂ້ອຍແມ່ນພື້ນຖານທີ່ຈະຍ່າງຈາກຝັ່ງທະເລທາງ ເໜືອ ຂອງຣັດເຊຍໄປທາງທິດ ເໜືອ, ແລະຫຼັງຈາກນັ້ນສືບຕໍ່ໄປທາງຝັ່ງ ເໜືອ ຂອງປະເທດການາດາ."	Kế hoạch của tôi là đi bộ từ bờ biển phía bắc của Nga về phía bắc, và sau đó tiếp tục đến bờ biển phía bắc của Canada.
ກອງປະຊຸມຄັ້ງທີ 10 ຂອງຄະນະກຳມະການຄົບຄະນະກ່ຽວກັບປະຊາຄົມເສດຖະກິດອາຊຽນ	Kỳ họp  lần thứ 10 Ủy ban cấp cao về Cộng đồng Kinh tế ASEAN.
"ຕອນຄ່ຳວັນທີ 9 ກໍລະກົດ, ຢູ່ສູນກິລາ ຕຽນເຊີນ, ນະຄອນ ດ່ານັ້ງ ໄດ້ໄຂງານແຂ່ງຂັນກິລາສຳລັບຄົນພິການທົ່ວປະເທດຄັ້ງທີ 6 ປິ 2018."	Tối 9/7, tại sân vận động  Tiên Sơn  ở thủ đô Viêng Chăn,  lễ khai mạc Paralympic  toàn quốc lần thứ 6 năm 2018 đã được tổ chức.
"ດັ່ງນັ້ນພວກເຮົາໄດ້ເຮັດວຽກກ່ຽວກັບກະຕ່າຍນີ້, ແລະມັນກໍ່ສົມບູນສົມບູນໃນທຸກທິດທາງ."	Vì vậy, chúng tôi tập trung vào chiếc kính này, và nó có sự cân bằng hoàn hảo về mọi mặt.
"ແລະຄ້າຍຄືກັນ, ດຽວນີ້ກ່ອນທີ່"	Tương tự như vậy, trước khi bắt tay vào bất cứ điều gì, tôi luôn tự hỏi mình cần chuẩn bị tinh thần như thế nào để làm tốt công việc.
"ດັ່ງທີ່ຂ້າພະເຈົ້າໄດ້ເວົ້າແລ້ວ, 18 ສ່ວນຮ້ອຍຂອງທາດອາຍຜິດເຮືອນແກ້ວແມ່ນມາຈາກການຜະລິດສັດລ້ຽງ."	Như tôi đã nói, 18% khí xanh đến từ thức ăn gia súc.
"ຕອນຄ່ຳວັນທີ 18 ມີນາ, ຜູ້ຕາງໜ້າບໍລິສັດການບິນແຫ່ງຊາດຫວຽດນາມ (Vietnam Airlines) ໃຫ້ຮູ້ວ່າ ຍ້ອນການຜັນແປນັບມື້ນັບຮ້າຍແຮງຂອງໂລກລະບາດCovid – 19 ແລະ ນະໂຍບາຍຈຳກັດຄົນເຂົ້າເມືອງ ລະຫວ່າງ ບັນດາປະເທດ, Vietnam Airlines ໄດ້ຕົກລົງ ຢຸດຕິຊົ່ວຄາວການປະຕິບັດບັນດາຖ້ຽວບິນ ລະຫວ່າງ ຫວຽດນາມ ແລະ ລັດເຊຍ, ໄຕ້ຫວັນ (ຈີນ) ນັບແຕ່ວັນທີ 19 ມີນາ 2020."	Tối  18/3,  đại diện Vietnam Airlines thông báo, do tình hình dịch bệnh diễn biến phức tạp và hạn chế nhập cảnh giữa các nước, hãng sẽ tạm dừng các chuyến bay giữa Việt Nam với Nga và Đài Loan (Trung Quốc) từ ngày  19/3/  2020.
"ນີ້ແມ່ນວຽກງານສິລະປະທີ່ຫ້ອຍຢູ່ຕາມຝາຂອງ CIA ໃນ Langley, Virginia, ອາຄານ ສຳ ນັກງານໃຫຍ່ CIA ຕົ້ນສະບັບ."	Đây là một bức tranh treo trên tường của CIA  ở  Langley,  Virginia,  trong tòa nhà trụ sở CIA.
"“ນອກຈາກການຍິງບັ້ງໄຟດອກ, ບັນດາລາຍການສະແດງສິລະປະທີ່ເປັນເອກະລັກສະເພາະດ້ວຍການເຂົ້າຮ່ວມຂອງບັນດານັກສິລະປິນແຖວໜ້າ, ພ້ອມກັບການເຄື່ອນໄຫວຮ່ວມເດີນທາງທີ່ຟົດຟື້ນ, ມີສີສັນລາກຫຼາຍ ໄດ້ນຳມາໃຫ້ປະຊາຊົນນະຄອນ ແລະ ນັກທ່ອງທ່ຽວບັນຍາກາດງານບຸນທີ່ຟົດຟື້ນໃນຕະຫຼອດ 2 ເດືອນຜ່ານມາ, ໂດຍເປັນການປະກອບສ່ວນຢັ້ງຢືນເຄື່ອງໝາຍການຄ້າເຫດການຂອງນະຄອນດ່ານັ້ງ ທີ່ສວຍງາມ."	Bên cạnh pháo hoa,  chương trình nghệ thuật đặc sắc với những ngôi sao nổi bật cùng những hoạt động sôi nổi, đầy màu sắc đã mang đến không khí lễ hội tấp nập, tấp nập cho người dân và du khách trong  hơn 2 tháng qua, đồng thời củng cố thương hiệu sự kiện của thành phố bên dòng sông Hàn thơ mộng.
ມື້ເຮັດວຽກທີ 2 ຂອງກອງປະຊຸມຄັ້ງທີ 6 ສະມັດຊາໃຫຍ່ກອງທຶນສິ່ງແວດລ້ອມທົ່ວໂລກ	Ngày làm việc thứ hai của Đại hội đồng  lần thứ 6 của Tổ chức Môi trường thế giới.
"ໃນຂະນະດຽວກັນ, ທະນາຄານໂລກຄາດຄະເນວ່າ ການເຕີບໂຕປີ 2020 ຂອງຫວຽດນາມຈະຢູ່ໃນລະດັບ 4,9% ແລະ ທະນາຄານພັດທະນາອາຊີຄາດຄະເນວ່າ ແມ່ນ 4,8%."	Đồng thời,  Ngân hàng Thế giới dự đoán tăng trưởng của Việt Nam năm 2020 sẽ đạt khoảng 4,9%, trong khi Ngân hàng Phát triển châu Á đưa ra dự báo thấp hơn một chút, ở mức 4,8%.
"ຖ້າພວກເຮົາເບິ່ງສະຖິຕິກ່ຽວກັບອາຍຸຂອງຜູ້ເບິ່ງແຍງ, ຜູ້ເບິ່ງແຍງແມ່ນມີອາຍຸຫຼາຍກວ່າເກົ່າໃນສາຍຕາຂອງພວກເຮົາ."	Nếu chúng ta nhìn vào các số liệu thống kê liên quan đến tuổi của người chăm sóc, chúng ta thấy rằng những người chăm sóc đang già đi.
"ແລະຫຼັງຈາກນັ້ນເມື່ອພວກເຮົາພິມ, ເຄື່ອງພິມເຮັດໃຫ້ຫມຶກເຫຼື້ອມແລະມັນເບິ່ງຄືວ່າມັນໄຫຼ."	Và khi chúng tôi in mẫu,  mực chuyển sang màu vàng, làm cho nó trông giống như sắp ra mắt.
ພິທີສະເຫລີມສະຫລອງວັນພາສາຝລັ່ງສາກົນໄດ້ດຳເນີນໃນຕອນຄ່ຳວັນທີ 16 ມີນາ ຢູ່ ຮ່າໂນ້ຍ ໂດຍກະຊວງການຕ່າງປະເທດຫວຽດນາມ ສົມທົບກັບອົກງານພາສາຝລັ່ງ (OIF) ຈັດຕັ້ງ.	Lễ kỷ niệm diễn ra vào tối  16/3 tại Hà Nội,  do  Bộ Ngoại giao phối hợp với Tổ chức Quốc tế Pháp (OIF) tổ chức.
ຫວຽດນາມ ແລະ ອິນເດຍ ຊຸກຍູ້ການຮ່ວມມືແລກປ່ຽນການຄ້າ	Việt Nam và Ấn Độ đang tích cực thúc đẩy thương mại và đầu tư song phương.
ເລີ່ມລົງມືກໍ່ສ້າງ ອາຄານຜູ້ໂດຍສານ T2- ທ່າອາກາດສະຍານສາກົນ ຟູບ່າຍ	Khởi công xây dựng nhà ga hành khách  T2  cho Cảng hàng không quốc tế  Phú Bài.
"ຜັກຫຼາຍທ່ານກິນແລະສິ່ງອື່ນໆ ໜ້ອຍ ທີ່ທ່ານກິນ, ທ່ານຈະມີຊີວິດຢູ່ດົນກວ່າເກົ່າ."	Bạn càng thêm nhiều rau và càng ít thực phẩm khác,  bạn sẽ càng sống lâu.
ຕົ້ນກຳເນີດຂອງ VASEAN ແມ່ນສະມາຄົມພັດທະນາການຮ່ວມມືເສດຖະກິດ ຫວຽດນາມ - ລາວ - ກຳປູເຈຍ ໄດ້ຮັບການສ້າງຕັ້ງກ່ອນນີ້ 10 ປີ.	VASEAN được phát triển bởi  Hiệp hội Phát triển Hợp tác  Kinh tế Việt Nam - Lào - Campuchia, được thành lập cách đây 10  năm.
ສ້າງເງື່ອນໄຂໃຫ້ແກ່ວິສາຫະກິດຕ່າງປະເທດ ຜັນຂະຫຍາຍບັນດາໂຄງການກ່ຽວກັບ ພະລັງງານຜະລິດຄືນໃໝ່	Khuyến khích các doanh nghiệp nước ngoài thực hiện các dự án năng lượng tái tạo.
ບໍ່ມີຫຍັງທີ່ໜ້າແປກທັງນັ້ນຖ້າທ່ານເບິ່ງຄວາມເຂົ້າໃຈຂອງຈິດຕະສາດໃນປະຈຸບັນ.	Nếu bạn xem xét kiến thức của tâm trí hiện đại, nó không đáng ngạc nhiên chút nào.
"ນີ້ແມ່ນການເຄື່ອນໄຫວດ້ານການເມືອງ, ວັດທະນະທຳ ມີຄວາມໝາຍໄດ້ຈັດຕັ້ງເປັນເວລາຫຼາຍປີຜ່ານມາ, ເພື່ອຮັບໃນໂອກາດໃຊ້ປະຊາຊົນ, ເພື່ອນຜູ້ອ່ານຢູ່ນະຄອນຫຼວງຕ້ອນຮັບບຸນເຕັດປະເພນີຂອງຊາດ."	Đây là sự kiện chính trị, văn hóa ý nghĩa, được tổ chức qua nhiều năm nhằm phục vụ nhân dân và bạn đọc Thủ đô nhân dịp Tết cổ truyền.
"ດັ່ງນັ້ນພວກເຮົາຕ້ອງສາມາດສົນທະນາໃນທຸກລະດັບ, ເພື່ອເຂົ້າເຖິງລະດັບຂອງພວກເຂົາ."	Vì vậy, chúng ta cần có khả năng nói chuyện với nhau ở mọi cấp độ, để đạt đến trình độ của họ.
"ພວກເຮົາຕ້ອງຮັກສາມັນເປັນຄວາມລັບຈາກຜູ້ອອກແບບອຸດສາຫະ ກຳ ຈົນກວ່ານາງຈະຍອມຮັບເອົາວຽກ, ແລະຫຼັງຈາກນັ້ນນາງເກືອບຈະແລ່ນແລະຮ້ອງ."	Chúng tôi đã phải giữ bí mật với nhà thiết kế công nghiệp cho đến khi cô ấy đồng ý nhận công việc, và ngay sau đó, cô ấy gần như chạy và hét lên vì phấn khích.
"ວັນທີ 14 ພະຈິກ ບັນດາອົງການທີ່ມີໜ້າທີ່ຮັບຜິດຊອບຂອງ ຫວຽດນາມ, ສະຖານທູດ ຫວຽດນາມ ປະຈຳ ຍີ່ປຸ່ນ ແລະ ບໍລິສັດການບິນແຫ່ງຊາດ ຫວຽດນາມ ໄດ້ສົມທົບກັບບັນດາອົງການທີ່ມີໜ້າທີ່ຂອງ ຍີ່ປຸ່ນ ປະຕິບັດສອງຖ້ຽວບິນ ເພື່ອຈັດສົ່ງພົນລະເມືອງ ຫວຽດນາມ ເກືອບ 450 ຄົນຈາກ ຍີ່ປຸ່ນ ກັບຄືນເມືອປະເທດດ້ວຍຄວາມປອດໄພ"	Ngày 14/11/2020, các quan chức Việt Nam,  Đại sứ quán Việt Nam tại Nhật Bản và Công ty Hàng không Quốc gia Việt Nam đã phối hợp với nhà chức trách Nhật Bản khai thác 2 chuyến bay đưa gần  450  công dân Việt Nam từ Nhật Bản về nước an toàn.
ແຕ່ພວກເຮົາຈະເລີ່ມຕົ້ນດ້ວຍສິ່ງທີ່ພວກເຮົາເອີ້ນວ່າຂັ້ນ ໜຶ່ງ.	Tuy nhiên, chúng tôi sẽ bắt đầu với những gì chúng tôi gọi là bước đầu tiên.
ຂ້ອຍໄດ້ເຮັດວຽກກ່ຽວກັບເອກະສານງ່າຍໆເປັນເວລາ 30 ປີ.	Tôi có rất nhiều kinh nghiệm trong việc làm cho tài liệu dễ dàng hơn.
"ນັ້ນແມ່ນຈຸດ, ແມ່ນຊີວະວິທະຍາ, ແມ່ນ ທຳ ມະຊາດ."	Đây là một khía cạnh quan trọng, được định hình bởi các yếu tố sinh học và bản năng tự nhiên.
ຄະນະຈັດຕັ້ງໄດ້ມອບລາງວັນ19 ຫຼຽນເງິນ ແລະ 12 ຫຼຽນຄຳ ໃຫ້ແກ່ບັນດາລາຍການສະແດງທີ່ດີເດັ່ນໃນງານມະໂຫລານດົນຕີອາຊຽນ 2019.	Tiết mục xuất sắc tại Liên hoan Âm nhạc Đông Nam Á  2019  được vinh danh với 19 huy chương bạc và 12 huy chương vàng.
"ການເມືອງໃນປະຈຸບັນແມ່ນຄ້າຍຄືເກມທີ່ບໍ່ຄ່ອຍເຊື່ອງ່າຍໆຂອງນັກການເມືອງ, ໃນຂະນະທີ່ປະຊາຊົນຖືກຊຸກຍູ້ໃຫ້ຫລີກໄປທາງຫນຶ່ງຄືກັບການນັ່ງຢູ່ບ່ອນນັ່ງສະ ໜາມ ກິລາບ່ອນທີ່ຄວາມກະຕືລືລົ້ນໃນດ້ານການເມືອງຄ່ອຍໆຕ້ອງເຮັດໃຫ້ຕາບອດແລະ ໝົດ ຫວັງ."	Môi trường chính trị hiện tại đang trở nên xa vời và thờ ơ với mọi người, khi các chính trị gia bất chấp dư luận để đạt được mục đích riêng của họ.
ມີ 5 ປະເທດເຂົ້າຮ່ວມງານບຸນບາລູນສາກົນ ເຫ້ວ ປີ 2019	Lễ hội khinh khí cầu quốc tế  Huế năm 2019 thu hút sự tham gia của nhiều quốc gia.
ບາງທ່ານອາດຈະໄດ້ເຫັນຮູບພາບເຫລົ່ານີ້ມາກ່ອນ.	Một số bạn có thể đã nhìn thấy những hình ảnh này trước đây.
ແລະມັນກໍ່ໄດ້ເຮັດວຽກທີ່ຊໍ້າຊາກທີ່ງ່າຍດາຍທີ່ນາງຕ້ອງເຮັດມາກ່ອນ.	Những nhiệm vụ đơn giản này đã được thực hiện nhiều lần.
ຜູ້ຄົນມັກແນະ ນຳ ຂ້ອຍວ່າເປັນນັກ ສຳ ຫຼວດຂົ້ວໂລກ.	Tôi thường được mô tả là một nhà nghiên cứu vùng cực.
"ແທນທີ່ຈະໃຊ້ລໍ້ລົດ, ຫຸ່ນຍົນ Ballbot ຈະຮັກສາຄວາມສົມດຸນແລະຍ້າຍພຽງແຕ່ລູກດຽວ."	Robot Ballbot  duy trì sự cân bằng và di chuyển với một quả bóng duy nhất thay vì một bánh xe.
"ຕອນບ່າຍວັນທີ 09/01, ຢູ່ຮ່າໂນ້ຍ, ທ່ານນາຍົກລັດຖະມົນຕີ ຫວຽດນາມ ຫງວຽນຊວນຟຸກ ໄດ້ເຂົ້າຮ່ວມກອງປະຊຸມສະຫລຸບວຽກງານການເງິນງົບປະມານແຫ່ງລັດປີ 2018 ແລະ ຜັນຂະຫຍາຍໜ້າທີ່ການເງິນງົບປະມານແຫ່ງລັດປີ 2019."	Ngày  9/1, tại thủ đô Viêng Chăn,  Thủ tướng Nguyễn Xuân Phúc đã tham dự cuộc họp tổng kết đánh giá hiệu quả điều hành chính sách tiền tệ và hoạt động ngân hàng năm 2018, cũng như đề ra phương hướng cho năm  2019.
ພວກເຮົາສາມາດຂຸດຄົ້ນຊັບພະຍາກອນນີ້ໂດຍບໍ່ຕ້ອງການວິທະຍາສາດທາງດ້ານວັດຖຸ ໃໝ່ ໂດຍງ່າຍໆໂດຍການ ນຳ ໃຊ້ວິທະຍາສາດການປະພຶດ.	Chúng ta có thể tận dụng nguồn tài nguyên này mà không cần dựa vào khoa học tự nhiên,  mà chỉ đơn giản bằng cách áp dụng các nguyên tắc từ khoa học hành vi một cách hiệu quả.
"ຫວຽດນາມ ແລະ ໄທ ເພີ່ມທະວີການພົບປະແລກປ່ຽນນັກຮຽນ, ຄູອາຈານ ແລະ ພະນັກງານຄຸ້ມຄອງການສຶກສາ"	Chương trình Liên kết Giáo dục giữa Việt Nam và Thái Lan nhằm thúc đẩy giao lưu giữa học sinh, giáo viên và cán bộ quản lý giáo dục.
ແລະຫຼັງຈາກນັ້ນພວກເຮົາປະຕິບັດຕາມຂັ້ນຕອນທີ່ຂ້າພະເຈົ້າໄດ້ອະທິບາຍ.	Tiếp theo, chúng ta sẽ làm theo các bước tôi đã đề xuất.
ມັນແມ່ນຄວາມບໍ່ແນ່ນອນຂອງສິ່ງທີ່ພວກເຮົາຢາກເຮັດແລະເມື່ອພວກເຮົາເຮັດບາງສິ່ງບາງຢ່າງ	Đó là sự không chắc chắn về những gì chúng ta muốn đạt được và cách chúng ta sẽ làm điều đó.
ນີ້ແມ່ນເອກະສານສໍາຄັນຂອງຄະນະອະນຸກໍາມະການເສດຖະກິດ-ສັງຄົມ ເພື່ອກະກຽມໃຫ້ແກ່ກອງປະຊຸມໃຫຍ່ທົ່ວປະເທດຂອງພັກ ຄັ້ງທີ 13.	Đây là một tài liệu quan trọng của Ủy ban Kinh tế Xã hội, được thành lập để chuẩn bị cho Đại hội toàn quốc lần thứ 13 .
"ທໍາອິດ, ຂ້າພະເຈົ້າຈະອະທິບາຍວ່າເຮັດແນວໃດ Rezero ມີຄວາມສົມດຸນແນວໃດແທ້ໆ."	Đầu tiên, tôi sẽ chỉ ra cách  Rezero duy trì sự cân bằng.
"ໂດຍພື້ນຖານແລ້ວ, ພວກເຂົາໄດ້ ຈຳ ລອງເມືອງ ສຳ ລັບການຕໍ່ສູ້ໃນຕົວເມືອງ, ແລະນີ້ແມ່ນ ໜຶ່ງ ໃນບັນດາໂຄງສ້າງທີ່ມີຢູ່ແລ້ວໃນເມືອງນັ້ນ."	Họ đã xây dựng một thành phố kiểu mẫu để phù hợp với các trận chiến  đô thị, và đây là cấu trúc tồn tại ở đó.
ວິດີໂອນີ້ສະແດງໃຫ້ເຫັນເຖິງການທົດລອງຍິງຂີປະນາວຸດລຸ້ນ ໃໝ່.	Video này cho thấy một cuộc thử nghiệm của một loại tên lửa mới.
ນັກກິລາ ຫວູທິເມັ໊ນ ຄ້ວາໄດ້	Wooltiman giành huy chương đồng ở nội dung nhảy ba lần với thành tích 13,93m.
ງານວາງສະແດງຮູບພາບ 300 ແຜ່ນ ແລະ ຮູບເງົາເກືອບ 60 ເລື່ອງກ່ຽວກັບບັນດາຊົນເຜົ່າໃນປະຊາຄົມ ອາຊຽນ	Triển lãm gồm 300  bức ảnh và gần 60  bộ phim, tôn vinh vẻ đẹp đa dạng của các dân tộc trong cộng đồng ASEAN.
"ແລະໃນປີ 2003, ລັດຖະບານເອທິໂອເປຍໄດ້ເລີ່ມຕົ້ນລະບົບ ໃໝ່ ນີ້ຢູ່ໃນປະເທດຂອງພວກເຂົາ."	Năm 2003, chính phủ Ethiopia đã đưa ra hệ thống mới này ở nước họ.
"“ພັດທະນາວັດທະນະທໍາການອ່ານໃນວົງຄະນະຍາດຮອດປີ 2020, ກໍານົດທິດຮອດປີ 2030” ຢັ້ງຢືນບົດບາດ ແລະ ຄວາມໝາຍຂອງວັດທະນະທໍາການອ່ານສໍາລັບຊີວິດສັງຄົມ ແລະ ຊາວຫວຽດນາມແຕ່ລະຄົນ."	Đề án "Phát triển văn hóa đọc trong cộng đồng đến năm 2020, định hướng đến năm 2030" khẳng định vai trò, tầm quan trọng của văn hóa đọc trong đời sống xã hội của mỗi người dân Việt Nam.
ສະພາບການເຫຼົ່ານັ້ນບໍ່ເຄີຍໄດ້ ກຳ ນົດຕົວເຮົາເອງຢ່າງຈະແຈ້ງກວ່າຈົນເຖິງທົດສະວັດທີສອງຂອງຊີວິດຂອງລາວ.	Những hoàn cảnh đó không bao giờ được xác định rõ ràng cho đến thập kỷ thứ hai của cuộc đời.
"ທ່ານເຫັນຕົວແທນຄອມພິວເຕີ້ທີ່ມີປັນຍາ 12, ຮູບສີ່ຫລ່ຽມ, ບິນໃນສະ ໝອງ ກັບທ່ານ."	Bạn có thể tưởng tượng 12  tác nhân máy tính thông minh giống như một hình chữ nhật trong não của bạn.
ພິທີໄຂກອງປະຊຸມລັດຖະມົນຕີຄົມມະນາຄົມຂົນສົ່ງ ບັນດາປະເທດ ອາຊຽນ ຄັ້ງທີ 25 (ATM25) ໄດ້ດໍາເນີນໃນຕອນເຊົ້າວັນທີ 14 ພະຈິກ ຢູ່ຮ່າໂນ້ຍ ດ້ວຍການເຂົ້າຮ່ວມຂອງລັດຖະມົນຕີກະຊວງ ຄົມມະນາຄົມສົນສົ່ງ 10 ປະເທດ ອາຊຽນ.	Lễ khai mạc diễn ra sáng  14/11 tại thủ đô Viêng Chăn với sự tham dự của Thủ tướng Bộ Giao thông vận tải đến từ 10 nước ASEAN.
"ນີ້ແມ່ນໂອກາດເພື່ອໃຫ້ບັນດາພື້ນຖານເສດຖະກິດສະມາຊິກ APEC ໄດ້ແລກປ່ຽນ, ແບ່ງປັນ, ຖອດຖອນບົດຮຽນໃນບັນດາທັກສະການເຈລະຈາກ່ຽວກັບການແກ່ງແຍ້ງໃນບັນດາສັນຍາການຄ້າເສລີ ກໍ່ຄືສັນຍາຄູ່ຮ່ວມມືເສດຖະກິດຈາກບັນດາພື້ນຖານເສດຖະກິດພັດທະນາໃນ APEC."	Đây là cơ hội để các nền kinh tế  thành viên APEC giao lưu, chia sẻ và tích lũy kinh nghiệm về kỹ năng đàm phán cạnh tranh trong các hiệp định thương mại tự do cũng như các hiệp định đối tác kinh tế từ các nền kinh tế đang phát triển APEC.
"ຂ້າພະເຈົ້າເປັນກຽດທີ່ໄດ້ປະກາດໃນມື້ນີ້ວ່າພວກເຮົາ ກຳ ລັງເປີດກຸ່ມ ໃໝ່ ໃນຕົວເມືອງສາກົນກ່ອນແລະເລີ່ມຕົ້ນໃນໂປແລນ, ຍີ່ປຸ່ນແລະໄອແລນ."	Tôi rất vinh dự được thông báo hôm nay rằng chúng tôi đang mở một nhóm mới tại thành phố quốc tế và chúng tôi sẽ bắt đầu đầu tiên ở Ba Lan, Nhật Bản và Ireland.
ຍູ້ແຮງການຮ່ວມມືສາກົນກ່ຽວກັບການປ້ອງກັນຕ້ານໂລກພະຍາດຕິດແປດຈາກສັດສູ່ຄົນ	Tăng cường hợp tác toàn cầu trong phòng chống dịch bệnh động vật.
"ແຕ່ກ່ອນ ໃນສະຕະວັດທີ 19 ຢູ່່ປະເທດເຢຍລະມັນ, ມີປື້ມເທົ່ານັ້ນ."	Nhưng trở lại nước Đức thế kỷ  19, mọi người chỉ có sách để đọc.
IMF ຈະສືບຕໍ່ຮ່ວມມື ແລະ ໜູນຊ່ວຍຫວຽດນາມ ໃນວິວັດການພັດທະນາ	IMF dự định sẽ tiếp tục hợp tác chặt chẽ và hỗ trợ Việt Nam trên hành trình phát triển bền vững.
ພະລັງແຫ່ງການ ນຳ ພາຈິດໃຈຂອງທ່ານໃຫ້ສຸມໃສ່ບາງສິ່ງບາງຢ່າງທີ່ເຮັດໃຫ້ທ່ານສັ່ນສະເທືອນທ່ານກ່ຽວກັບບາງສິ່ງບາງຢ່າງເຮັດໃຫ້ມະເລັງບໍ່ມີຫຍັງເປັນໂຣກຮ້າຍ.	Sức mạnh của việc tập trung vào một mục tiêu có thể thúc đẩy bạn mạnh mẽ đến mức ngay cả ung thư cũng không còn đáng sợ nữa.
ສຸມໃສ່ສ້າງຍຸດທະສາດຫັນປ່ຽນດີຈີຕອນ ເພື່ອແນໃສ່ກໍ່ສ້າງຫວຽດນາມ 4.0	Thúc đẩy phát triển các chiến lược chuyển đổi chiến lược.
